N.º de artículo,No. Parte Newark,¿Conforme a RoHS?,Notas,Cantidad,Número Parte Fabricante,Fabricante / Descripción,Disponibilidad,Precio unitario,Total de línea,Precio de descuento
1,90W2861,YES,,1.0,MC0805B103J500CT,"MULTICOMP CAP, MLCC, 10NF, 50V, X7R, 0805 MULTICOMP-MC0805B103J500CT-CAP, MLCC, 10NF, 50V, X7R, 0805",1569,0.11,0.11,,
2,41K4141,YES,,1.0,LM2675M-5.0/NOPB,"TEXAS INSTRUMENTS IC, STEP-DOWN REGULATOR, SOIC-8 TEXAS INSTRUMENTS-LM2675M-5.0/NOPB-IC, STEP-DOWN REGULATOR, SOIC-8",6275,5.97,5.97,,
3,09J2996,YES,,1.0,SRU1048-470Y,"BOURNS INDUCTOR, SHIELDED, 47UH, 1.5A, SMD BOURNS-SRU1048-470Y-INDUCTOR, SHIELDED, 47UH, 1.5A, SMD",Normalmente no está en inventario,0.98,0.98,,
4,89K1595,YES,,1.0,STPS2150A,"STMICROELECTRONICS SCHOTTKY RECTIFIER, 2A, 150V, DO-214AC STMICROELECTRONICS-STPS2150A-SCHOTTKY RECTIFIER, 2A, 150V, DO-214AC",6639,0.79,0.79,,

,,,,,,,Subtotal,7.85
,,,,,,,Total de mercancías,7.85
,,,,,,,Envío básico,0.00
,,,,,,,Impuestos,0.00
,,,,,,,Total,7.85
