N.º de artículo,No. Parte Newark,¿Conforme a RoHS?,Notas,Cantidad,Número Parte Fabricante,Fabricante / Descripción,Disponibilidad,Precio unitario,Total de línea,Precio de descuento
1,04P2013,YES,,3.0,SRR1260-101M,"BOURNS INDUCTOR, SHIELDED, 100UH, 1.7A, SMD BOURNS-SRR1260-101M-INDUCTOR, SHIELDED, 100UH, 1.7A, SMD",634,1.31,3.93,,
2,53W3788,YES,,6.0,EEE-1EA101AP,"PANASONIC CAPACITOR ALUM ELEC, 100UF, 25V, 20%, SMD PANASONIC-EEE-1EA101AP-CAPACITOR ALUM ELEC, 100UF, 25V, 20%, SMD",960,0.70,4.18,,
3,65W8554,YES,,3.0,B240A-13-F,"MULTICOMP DIODE, SCHOTTKY, 2A, 40V, DO-214AC-2 MULTICOMP-B240A-13-F-DIODE, SCHOTTKY, 2A, 40V, DO-214AC-2",1667,0.36,1.07,,
4,41K3690,YES,,3.0,LM2576S-5.0/NOPB,"TEXAS INSTRUMENTS IC, STEP-DOWN VOLTAGE REGULATOR, TO-263 TEXAS INSTRUMENTS-LM2576S-5.0/NOPB-IC, STEP-DOWN VOLTAGE REGULATOR, TO-263",1480,4.42,13.26,,

,,,,,,,Subtotal,22.43
,,,,,,,Total de mercancías,22.43
,,,,,,,Envío básico,0.00
,,,,,,,Impuestos,0.00
,,,,,,,Total,22.43
